"id_veicolo" "id_percorso" "id_palina" "aria.x" "moby.x" "meb.x" "banda.x" "pedana.x" "linea.x" "statotraffico.x" "tempo_attesa.y" "distanza_fermate.y" "a_capolinea.y" "tempo_attesa_secondi.y" "statotraffico.y" "traveltime" "ora" "giorno" "giornosettimana" "direction" "weather" "prevision_w"
"708" "3056" "55244" "70985" 0 0 0 "1" 0 "916" "4" 3 3 0 151 "4" 156 "21" "16" "2" 1 "0" "0"
"711" "3057" "3602" "70788" 0 0 0 "0" 0 "719" "4" 36 43 0 2165 "4" 2396 "23" "16" "2" 0 "0" "0"
"720" "3057" "3602" "70788" 0 0 0 "2" 0 "719" "3" 19 14 0 1114 "3" 1097 "20" "16" "2" 0 "0" "0"
"725" "3057" "3602" "70788" 0 0 0 "0" 0 "719" "4" 4 4 0 242 "4" 241 "22" "16" "2" 0 "0" "0"
"732" "3064" "56410" "74417" 0 0 0 "2" 0 "670" "4" 32 39 0 1913 "4" 1989 "17" "16" "2" 0 "0" "0"
"735" "3064" "56410" "74417" 0 0 0 "0" 0 "670" "4" 21 28 0 1241 "4" 1357 "15" "16" "2" 0 "0" "0"
"741" "3064" "56410" "74417" 0 0 0 "0" 0 "670" "4" 4 6 0 238 "4" 309 "18" "16" "2" 0 "0" "0"
"743" "3064" "56410" "74417" 0 0 0 "0" 0 "670" "4" 18 25 0 1071 "4" 1268 "19" "16" "2" 0 "0" "0"
"749" "3079" "55444" "75617" 0 0 0 "0" 0 "223" "4" 38 31 0 2296 "4" 2524 "20" "16" "2" 1 "0" "0"
"755" "3079" "55444" "75617" 0 0 0 "0" 0 "223" "4" 25 27 0 1498 "4" 1681 "22" "16" "2" 1 "0" "0"
"757" "3080" "53125" "70256" 0 0 0 "0" 0 "N7" "4" 5 5 1 311 "4" 280 "0" "17" "3" 1 "0" "0"
"758" "3080" "53125" "70256" 0 0 0 "0" 0 "N7" "4" 12 5 1 692 "4" 579 "2" "17" "3" 1 "0" "0"
"769" "3086" "53125" "70256" 0 0 0 "0" 0 "N7" "4" 16 5 1 940 "4" 893 "4" "17" "3" 1 "0" "0"
"770" "3086" "53125" "70256" 0 0 0 "0" 0 "N7" "4" 16 5 1 984 "4" 1166 "3" "17" "3" 1 "0" "0"
"775" "3086" "53125" "70256" 0 0 0 "0" 0 "N7" "4" 7 5 1 395 "4" 509 "2" "17" "3" 1 "0" "0"
"780" "3086" "53125" "70256" 0 0 0 "0" 0 "N7" "4" 8 5 1 459 "4" 504 "1" "17" "3" 1 "0" "0"
"782" "3088" "55486" "20265" 0 0 0 "0" 0 "628" "4" 19 12 1 1169 "4" 1261 "17" "16" "2" 0 "0" "0"
"785" "3091" "55444" "75617" 0 0 0 "0" 0 "223" "4" 6 7 0 363 "4" 522 "15" "16" "2" 1 "0" "0"
"786" "3100" "881R" "70162" 0 0 0 "0" 0 "881" "4" 17 4 1 1021 "3" 939 "17" "16" "2" 1 "0" "0"
"789" "3100" "881R" "70162" 0 0 0 "0" 0 "881" "4" 8 4 1 453 "4" 788 "15" "16" "2" 1 "0" "0"
"790" "3100" "881R" "70985" 0 0 0 "0" 0 "881" "4" 12 9 1 716 "4" 991 "15" "16" "2" 1 "0" "0"
"793" "3100" "881R" "70985" 0 0 0 "0" 0 "881" "4" 29 9 1 1713 "3" 1639 "17" "16" "2" 1 "0" "0"
